IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.172.95,8443,8443,true,SIN,Asia Pacific,Singapore,85,0.00
54.251.191.147,443,443,true,SIN,Asia Pacific,Singapore,110,0.00
8.222.164.209,2095,2095,false,SIN,Asia Pacific,Singapore,114,0.00
8.219.177.205,2082,2082,false,SIN,Asia Pacific,Singapore,82,0.00
8.222.144.50,2082,2082,false,SIN,Asia Pacific,Singapore,107,0.00
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,112,0.00
8.219.210.57,2086,2086,false,SIN,Asia Pacific,Singapore,83,0.00
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,86,0.00
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,113,0.00
8.219.177.205,8880,8880,false,SIN,Asia Pacific,Singapore,76,0.00
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,88,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,111,0.00
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,88,0.00
